IMEI,Time-UTC,Date,Lat,Lon,Alt-m,Alt-ft,V_Vel-m/s,V_Vel-ft/s
300234060252680,05:39:40 PM,2018-11-12,46.0719167,-109.2648833,18739,61480,0,0
300234060252680,05:38:56 PM,2018-11-12,46.0740833,-109.2662333,19133,62772,-28,-93
300234060252680,05:38:47 PM,2018-11-12,46.0754667,-109.2671333,19396,63635,-32,-106
300234060252680,05:38:36 PM,2018-11-12,46.0761833,-109.26805,19755,64813,-30,-98
300234060252680,05:38:26 PM,2018-11-12,46.0766,-109.2698,20056,65801,-29,-96
300234060252680,05:38:15 PM,2018-11-12,46.0777167,-109.2719833,20390,66896,-32,-105
300234060252680,05:38:04 PM,2018-11-12,46.0791,-109.2737333,20763,68120,-32,-106
300234060252680,05:37:52 PM,2018-11-12,46.0801833,-109.2765,21142,69364,-33,-107
300234060252680,05:37:35 PM,2018-11-12,46.0817833,-109.27995,21754,71371,-36,-119
300234060252680,05:37:19 PM,2018-11-12,46.0838833,-109.2834167,22314,73209,-35,-116
300234060252680,05:36:32 PM,2018-11-12,46.0863167,-109.2885,24254,79573,-44,-144
300234060252680,05:36:21 PM,2018-11-12,46.0871167,-109.29075,24801,81368,-58,-191
300234060252680,05:35:57 PM,2018-11-12,46.0883167,-109.2954333,25980,85236,-55,-182
300234060252680,05:35:49 PM,2018-11-12,46.08915,-109.29625,26442,86752,-60,-198
300234060252680,05:35:41 PM,2018-11-12,46.0916167,-109.2997167,27585,90502,0,0
300234060252680,05:35:08 PM,2018-11-12,46.0922167,-109.3010333,27534,90335,5,15
300234060252680,05:34:58 PM,2018-11-12,46.0925167,-109.30235,27492,90197,4,14
300234060252680,05:34:48 PM,2018-11-12,46.09285,-109.3032667,27452,90066,5,15
300234060252680,05:34:39 PM,2018-11-12,46.0932833,-109.3043667,27418,89954,4,14
300234060252680,05:34:28 PM,2018-11-12,46.0939,-109.3054,27369,89793,4,13
300234060252680,05:34:17 PM,2018-11-12,46.0946,-109.30665,27324,89646,4,14
300234060252680,05:34:05 PM,2018-11-12,46.0955,-109.3078333,27274,89482,4,14
300234060252680,05:33:54 PM,2018-11-12,46.0965833,-109.3089833,27227,89327,5,15
300234060252680,05:33:22 PM,2018-11-12,46.0998167,-109.31225,27087,88868,4,13
300234060252680,05:33:14 PM,2018-11-12,46.10065,-109.3132833,27052,88753,3,10
300234060252680,05:33:06 PM,2018-11-12,46.10135,-109.31425,27022,88655,4,14
300234060252680,05:32:58 PM,2018-11-12,46.10205,-109.3154167,26989,88547,4,13
300234060252680,05:31:58 PM,2018-11-12,46.1058,-109.32395,26747,87753,4,12
300234060252680,05:31:49 PM,2018-11-12,46.1065,-109.3247667,26712,87638,4,14
300234060252680,05:31:39 PM,2018-11-12,46.1073167,-109.3260167,26674,87513,4,13
300234060252680,05:31:28 PM,2018-11-12,46.1083667,-109.3271,26635,87385,4,12
300234060252680,05:31:14 PM,2018-11-12,46.1096333,-109.3288667,26582,87211,3,11
300234060252680,05:31:05 PM,2018-11-12,46.1103667,-109.3299,26546,87093,3,11
300234060252680,05:30:48 PM,2018-11-12,46.1117167,-109.332,26479,86873,4,13
300234060252680,05:30:40 PM,2018-11-12,46.1124,-109.3331333,26447,86768,5,16
300234060252680,05:30:31 PM,2018-11-12,46.113,-109.3343833,26405,86631,5,17
300234060252680,05:30:22 PM,2018-11-12,46.1137,-109.3358667,26377,86539,3,9
300234060252680,05:30:12 PM,2018-11-12,46.1146167,-109.33745,26333,86394,5,15
300234060252680,05:29:53 PM,2018-11-12,46.1165833,-109.3408167,26240,86089,6,21
300234060252680,05:29:42 PM,2018-11-12,46.11755,-109.3427667,26180,85892,5,17
300234060252680,05:29:32 PM,2018-11-12,46.1183833,-109.3448333,26127,85719,6,18
300234060252680,05:29:22 PM,2018-11-12,46.1191833,-109.34665,26076,85551,5,17
300234060252680,05:28:34 PM,2018-11-12,46.1206,-109.3565833,25818,84705,6,20
300234060252680,05:28:03 PM,2018-11-12,46.12045,-109.3626333,25647,84144,6,19
300234060252680,05:27:46 PM,2018-11-12,46.1205167,-109.3657,25537,83783,8,26
300234060252680,05:27:37 PM,2018-11-12,46.12045,-109.3672333,25463,83540,9,28
300234060252680,05:27:28 PM,2018-11-12,46.1203,-109.3684667,25389,83297,10,33
300234060252680,05:27:20 PM,2018-11-12,46.1204167,-109.3697167,25315,83054,9,29
300234060252680,05:27:11 PM,2018-11-12,46.1206333,-109.37125,25246,82828,8,25
300234060252680,05:27:02 PM,2018-11-12,46.12085,-109.3725,25175,82595,7,23
300234060252680,05:26:54 PM,2018-11-12,46.1212667,-109.3734833,25129,82444,5,18
300234060252680,05:26:45 PM,2018-11-12,46.1219833,-109.3744667,25085,82300,5,16
300234060252680,05:26:37 PM,2018-11-12,46.12255,-109.37545,25048,82178,5,16
300234060252680,05:26:28 PM,2018-11-12,46.1232333,-109.3763667,25006,82041,5,15
300234060252680,05:26:19 PM,2018-11-12,46.1239167,-109.3773667,24963,81900,5,16
300234060252680,05:26:12 PM,2018-11-12,46.1245333,-109.3781833,24928,81785,5,16
300234060252680,05:26:03 PM,2018-11-12,46.1253833,-109.3794,24880,81627,5,17
300234060252680,05:25:54 PM,2018-11-12,46.1262167,-109.3806333,24839,81493,3,10
300234060252680,05:25:46 PM,2018-11-12,46.12695,-109.38175,24804,81378,6,19
300234060252680,05:25:37 PM,2018-11-12,46.1278833,-109.3831167,24763,81243,4,14
300234060252680,05:25:27 PM,2018-11-12,46.1290167,-109.3849,24722,81109,4,14
