IMEI,Time-UTC,Date,Lat,Lon,Alt-m,Alt-ft,V_Vel-m/s,V_Vel-ft/s
300234064804730,05:21:28 PM,2019-07-25,28.0640333,-80.6169667,-3,-10,-2,-8
300234064804730,05:20:47 PM,2019-07-25,28.06385,-80.6100333,-2,-6,0,0
300234064804730,05:20:37 PM,2019-07-25,28.06385,-80.6089667,-6,-19,0,-1
300234064804730,05:17:31 PM,2019-07-25,28.069,-80.6056333,32,106,-1,-4
300234064804730,05:17:01 PM,2019-07-25,28.0690833,-80.6052,6,18,0,1
300234064804730,05:16:33 PM,2019-07-25,28.06905,-80.6051833,6,20,-2,-6
300234064804730,05:15:59 PM,2019-07-25,28.069,-80.6051667,5,15,-1,-3
300234064804730,05:15:49 PM,2019-07-25,28.069,-80.60515,10,33,0,-1
300234064804730,05:15:01 PM,2019-07-25,28.0689833,-80.6052167,5,16,-1,-4
300234064804730,05:14:31 PM,2019-07-25,28.06905,-80.6052333,7,23,0,-1
300234064804730,05:14:01 PM,2019-07-25,28.0689833,-80.60525,6,20,-1,-4
300234064804730,05:13:31 PM,2019-07-25,28.069,-80.6052333,13,44,-1,-3
300234064804730,05:13:01 PM,2019-07-25,28.069,-80.60515,-2,-6,-1,-3
300234064804730,05:12:29 PM,2019-07-25,28.0689833,-80.6051667,0,1,0,0
300234064804730,05:12:01 PM,2019-07-25,28.0690167,-80.6052,14,47,-1,-3
300234064804730,05:11:31 PM,2019-07-25,28.06895,-80.60515,-1,-4,-1,-4
300234064804730,05:11:02 PM,2019-07-25,28.0690167,-80.60515,-9,-30,-1,-5
300234064804730,05:10:32 PM,2019-07-25,28.0689833,-80.6052167,5,18,-1,-3
300234064804730,05:10:02 PM,2019-07-25,28.0690167,-80.6052,11,36,-1,-4
300234064804730,05:09:33 PM,2019-07-25,28.069,-80.6051667,18,60,-1,-4
300234064804730,05:09:03 PM,2019-07-25,28.0689833,-80.6051833,11,34,-1,-4
300234064804730,05:08:33 PM,2019-07-25,28.0690167,-80.60525,29,97,-1,-5
300234064804730,05:08:03 PM,2019-07-25,28.0690167,-80.6052,11,37,-1,-4
300234064804730,05:07:33 PM,2019-07-25,28.0690667,-80.6051833,26,85,-1,-2
300234064804730,05:07:03 PM,2019-07-25,28.0689833,-80.60515,-1,-2,-2,-6
300234064804730,05:06:33 PM,2019-07-25,28.0689,-80.60525,10,33,0,-1
300234064804730,05:06:01 PM,2019-07-25,28.069,-80.6051833,12,38,0,0
300234064804730,05:05:51 PM,2019-07-25,28.0689833,-80.60525,15,50,0,-1
300234064804730,05:04:40 PM,2019-07-25,28.06825,-80.6066,9,30,0,-1
300234064804730,05:04:14 PM,2019-07-25,28.0674,-80.6085167,46,150,-4,-12
300234064804730,05:03:42 PM,2019-07-25,28.0660667,-80.61205,128,420,-4,-12
300234064804730,05:03:10 PM,2019-07-25,28.0652167,-80.6156667,128,419,1,3
300234064804730,05:02:50 PM,2019-07-25,28.0645333,-80.6179167,110,362,2,6
300234064804730,01:30:14 PM,2019-07-25,28.0623833,-80.62365,20,67,-2,-8
300234064804730,01:29:48 PM,2019-07-25,28.0623833,-80.6237,4,13,0,-1
300234064804730,01:29:34 PM,2019-07-25,28.0625,-80.6237,-7,-24,-1,-3
300234064804730,01:26:35 PM,2019-07-25,28.0625333,-80.6236667,-5,-16,-4,-12
300234064804730,01:25:57 PM,2019-07-25,28.0625333,-80.6236333,0,0,-2,-5
300234064804730,01:25:30 PM,2019-07-25,28.0625333,-80.6236667,-4,-14,0,-1
